coots	3	4	0.034952	0.032598
copal	4	4	0.0140441	0.007655
copra	3	3	0.0155579	0.0092029
coral	3	2	0.0064028	0.0026221
corer	4	4	0.0081894	0.0127171
cores	3	4	0.0055219	0.0050329
corks	4	5	0.0136154	0.0104623
corms	4	5	0.0141665	0.0124118
corns	4	4	0.0131126	0.0080909
coses	5	4	0.0348598	0.0120269
coset	4	3	0.0308796	0.0093816
cosie	4	4	0.0164872	0.0096283
costa	3	4	0.0318537	0.0078865
cotan	3	3	0.0114606	0.0186574
coted	4	3	0.0382817	0.0177122
couch	4	4	0.042567	0.0339694
count	4	4	0.0434631	0.0408605
coved	5	5	0.0374813	0.0160094
coves	5	5	0.033499	0.0129559
covin	4	4	0.0327705	0.0410739
coxal	4	4	0.0145929	0.0082308
coxed	5	5	0.0390825	0.0161999
coyer	3	4	0.0168396	0.0125664
coypu	3	4	0.0352401	0.0275836
cozie	4	4	0.0221311	0.0158937
crack	4	4	0.0211439	0.0030143
crank	3	4	0.0151092	0.0039221
crape	3	3	0.0207262	0.0008307
crazy	4	4	0.0188846	0.0027323
credo	3	3	0.015047	0.0122315
creed	3	3	0.0148842	0.0123122
creep	4	4	0.0186096	0.013056
crepe	3	4	0.015975	0.0137092
crept	3	3	0.0160355	0.014046
cribs	4	4	0.0095272	0.0087636
crisp	3	3	0.007065	0.0038498
crock	4	4	0.0192299	0.0108586
crocs	3	4	0.0128928	0.008009
croon	3	3	0.0164849	0.0105007
crops	3	3	0.0132466	0.0119331
crowd	4	4	0.0186684	0.0116846
cruet	3	3	0.0163032	0.0124952
crust	4	3	0.0155991	0.0037801
cuing	4	4	0.030567	0.0278296
culch	4	3	0.0415789	0.0082513
culex	4	4	0.0621059	0.0149189
culms	3	4	0.0396207	0.0040846
culpa	4	3	0.0375456	0.0071706
culti	3	3	0.0048234	0.0086397
cumin	4	4	0.0326404	0.0324569
cunts	3	4	0.0376762	0.0205976
cupel	4	4	0.0327903	0.0094481
cuppa	4	4	0.0373424	0.0184027
curia	3	3	0.0038513	0.012726
curie	3	4	0.0067049	0.0245881
currs	3	4	0.0110952	0.0119525
cushy	4	4	0.0412676	0.0112439
cutin	4	4	0.0339001	0.0284031
cuvee	4	4	0.0351781	0.0167705
cyans	3	3	0.0290936	0.0037224
cyber	4	4	0.0184692	0.0126116
cycle	4	4	0.0341499	0.0019421
cylix	3	4	0.026762	0.0085132
cymae	4	4	0.010715	0.0120378
cymar	3	3	0.0073324	0.0101519
cymes	5	4	0.0344351	0.011545
daces	4	4	0.0317213	0.0045784
dacha	3	4	0.0311324	0.0190506
daddy	4	4	0.0340517	0.0187563
dales	5	3	0.0316729	0.0016096
dally	3	4	0.0324126	0.0035097
darer	3	4	0.0048471	0.006203
darky	4	4	0.0113703	0.0098183
darts	3	3	0.0070517	0.003253
dashi	2	4	9.72e-05	0.0078837
dater	4	3	0.0237347	0.0041317
deash	4	3	0.0112061	0.0006814
debts	4	4	0.0312768	0.0082075
debut	4	4	0.0239794	0.0124465
decaf	4	4	0.0104629	0.0019094
deets	4	4	0.0272297	0.0082079
defat	3	4	0.0077111	0.0020778
defis	4	4	0.0095665	0.0086508
defog	3	4	0.019219	0.0070798
degas	3	3	0.0035888	0.0007904
deils	3	3	0.0063449	0.0007031
deist	3	3	0.0065557	0.0026589
delay	3	3	0.0076271	0.0007507
delly	4	3	0.0223477	0.0009763
demob	4	4	0.0268366	0.0074686
derat	3	3	0.0032821	0.0004929
derry	4	3	0.0098297	0.0029629
desks	4	4	0.02778	0.0103422
devas	3	3	0.0037472	0.0007583
devel	4	3	0.0222879	0.0020145
dewax	4	3	0.0104509	0.0016144
dewed	4	4	0.0210543	0.0072255
dexes	5	3	0.0316768	0.0078019
dhole	3	3	0.0309921	0.0026133
dicer	4	3	0.01344	0.0121167
dildo	4	4	0.0298301	0.0103262
dills	5	5	0.0309042	0.0055915
dilly	4	3	0.0306333	0.0039862
dimes	4	4	0.0190429	0.0130529
dimly	4	3	0.0316438	0.0044483
dingy	3	5	0.0274795	0.0302483
dinky	4	5	0.0314226	0.0288596
dippy	5	3	0.0351736	0.0268742
dirge	3	3	0.005736	0.0152745
disco	4	4	0.0252823	0.009089
dishy	4	4	0.0251363	0.009135
disks	4	4	0.0252843	0.0208157
dites	4	4	0.0162479	0.0124326
ditto	4	3	0.036293	0.0285611
dived	5	5	0.0264694	0.016336
dobby	5	4	0.0454106	0.0300154
dobie	4	4	0.0216276	0.0252232
dobla	4	3	0.0353061	0.0021336
dodge	3	4	0.0303253	0.0149898
doffs	4	5	0.0433379	0.0224585
doggo	4	4	0.0388827	0.0290738
dolor	3	4	0.0164295	0.0031876
domes	4	4	0.0298972	0.0118423
donga	3	4	0.0320812	0.0181184
donne	3	3	0.0308011	0.0163269
doody	4	4	0.0413685	0.0282546
doors	3	3	0.012863	0.009658
dopas	4	4	0.0124499	0.0135665
doped	5	4	0.0374236	0.0239208
dopes	4	3	0.0300687	0.010755
dorky	4	4	0.0104845	0.0103364
doses	4	4	0.0287638	0.0123469
douma	3	4	0.0316461	0.0238664
dowel	4	4	0.0339626	0.009821
dowry	3	4	0.015807	0.0102175
dozen	3	3	0.0305609	0.01556
drabs	4	4	0.0137329	0.0023509
draff	4	4	0.0202274	0.004088
drags	4	4	0.0141331	0.0036039
draws	4	4	0.0145136	0.0023032
drays	3	4	0.011339	0.0021025
drink	4	4	0.0134462	0.0124821
drops	3	3	0.013182	0.0120359
drums	4	3	0.0168919	0.0088884
drunk	4	3	0.0200509	0.0114421
dryer	3	4	0.0153739	0.0127431
duals	3	3	0.0304083	0.0003728
duces	3	4	0.0265361	0.0122042
dully	5	3	0.044456	0.0027354
dumbs	4	4	0.0417277	0.0223453
dunch	4	4	0.0421267	0.0272128
duomo	4	4	0.0399158	0.0291812
duple	3	3	0.0311226	0.0016806
dural	3	4	0.0064322	0.0030897
durrs	4	3	0.0138104	0.0077389
durst	4	4	0.0141972	0.0060653
dusks	5	4	0.0464805	0.0291846
dusky	4	4	0.04431	0.0101744
dusty	4	4	0.0409223	0.0109228
dwarf	4	4	0.0209784	0.0040832
dwine	4	3	0.0227789	0.0156665
dynes	3	3	0.0287656	0.0130192
eases	6	4	0.0387804	0.0058788
eaved	5	5	0.0331505	0.0106076
eaves	5	5	0.0333691	0.0059672
ebbed	4	4	0.0332938	0.0185751
echos	4	5	0.0338619	0.0145307
ecrus	3	4	0.0059635	0.0057252
edema	4	4	0.026199	0.0152264
edges	3	5	0.0278514	0.0198088
educe	3	4	0.0319943	0.0151882
egest	4	4	0.0311769	0.0087821
egged	4	4	0.0331432	0.0163413
elain	3	3	0.0050008	0.0007478
elegy	4	4	0.0331303	0.0122814
elite	4	4	0.0211314	0.008522
embow	4	4	0.034748	0.0159004
emirs	3	3	0.0046202	0.004847
empty	4	4	0.0352824	0.015273
entia	3	3	0.0067104	0.0104227
enure	4	4	0.0198974	0.01426
enzym	3	4	0.0307364	0.0171481
eosin	4	4	0.01575	0.00873
ephah	4	4	0.0107464	0.0105402
ephas	3	3	0.0048113	0.0048061
epics	4	3	0.0158994	0.0100851
epoch	4	4	0.0349408	0.0150462
erica	3	3	0.0033498	0.0049628
erugo	4	4	0.020612	0.0162568
escot	4	4	0.0307795	0.008666
eskar	3	3	0.004012	0.0012474
estop	4	4	0.0308811	0.0083647
ethyl	4	4	0.0351917	0.0077302
etuis	4	3	0.0174643	0.0110683
evoke	4	4	0.0360677	0.0199529
exact	4	3	0.0260886	0.0009146
exert	4	4	0.0184992	0.0173463
exile	4	4	0.0211845	0.0020993
extol	4	3	0.0337917	0.0093244
eyass	4	3	0.0295784	0.000709
eyers	4	4	0.0118585	0.0038729
eyrie	3	4	0.0059625	0.0185628
faint	3	3	0.0159021	0.0176823
faith	4	4	0.019948	0.017864
faked	5	5	0.0330896	0.0125533
false	3	3	0.0244713	0.0011209
fanon	5	4	0.04286	0.0202729
faqir	4	4	0.012347	0.0093513
farms	4	4	0.010666	0.0038162
fatly	4	3	0.0334102	0.0019662
fauns	4	3	0.0338754	0.0105111
feats	4	3	0.0110096	0.001109
fecks	4	5	0.0270554	0.0098872
feeds	4	4	0.0280578	0.0086244
feeze	4	4	0.0249448	0.007747
feist	3	3	0.0068303	0.0027034
felts	5	4	0.032032	0.0023386
fenny	5	4	0.0275043	0.0069868
fermi	2	4	8.16e-05	0.0042355
fesse	3	4	0.023291	0.0052627
fetor	4	3	0.0138721	0.0050765
feuds	4	4	0.031916	0.0076799
feyer	4	4	0.0125161	0.0032269
fezzy	4	4	0.0248493	0.0076777
fibre	4	4	0.0142687	0.0131169
field	4	4	0.0198147	0.0019736
fifed	5	4	0.0261105	0.0273188
fifes	4	5	0.0184704	0.0157645
fille	4	3	0.0210127	0.002027
fills	5	3	0.0301943	0.0027261
films	3	4	0.0201466	0.0048521
final	4	4	0.0090008	0.0084981
finch	4	4	0.0304518	0.0278483
fines	4	5	0.0165148	0.0121901
fired	3	4	0.0060067	0.0129562
firer	3	4	0.0056988	0.0129431
fires	3	3	0.0044266	0.0038292
firry	3	4	0.0044319	0.0112511
fists	4	4	0.0238945	0.0242471
fives	5	5	0.0205835	0.0130994
fixes	5	5	0.020899	0.0140529
fixit	4	5	0.0330096	0.0296619
fizzy	4	4	0.0323631	0.0293003
flans	5	4	0.0375143	0.0025024
flaxy	4	4	0.0368985	0.0035623
flays	5	3	0.0382195	0.0013263
fling	4	3	0.0308448	0.0115112
flirs	3	3	0.0071866	0.0007839
flogs	4	4	0.0403039	0.0057213
flong	4	4	0.0398212	0.0098609
flora	3	3	0.016283	0.0044803
flour	4	4	0.0204813	0.0030428
flown	4	3	0.040993	0.0092141
flows	4	4	0.0401401	0.004614
flued	4	4	0.0336838	0.011429
flunk	4	3	0.0424723	0.0103109
flush	3	3	0.0367491	0.0022768
fluyt	4	4	0.0406809	0.0086379
focus	3	3	0.0366473	0.0218196
foist	3	3	0.0222799	0.0143915
folky	4	4	0.0438869	0.0102745
foods	4	4	0.0381977	0.0223793
fools	4	4	0.0388231	0.0034054
foots	3	4	0.0352399	0.0224238
forte	4	4	0.0083317	0.012614
forts	4	4	0.0139635	0.0116706
forum	4	3	0.0103605	0.0124213
